SA2 Name,2016
Dawesville - Bouvard,799
Falcon - Wannanup,2499
Greenfields,799
Halls Head - Erskine,799
Mandurah,499
Mandurah - East,2499
Mandurah - North,2499
Mandurah - South,799
Pinjarra,799
City Beach,7999
Claremont (WA),2499
Cottesloe,3999
Floreat,3999
Mosman Park - Peppermint Grove,2499
Nedlands - Dalkeith - Crawley,7999
Swanbourne - Mount Claremont,3999
Kings Park (WA),3999
Mount Hawthorn - Leederville,2499
Mount Lawley - Inglewood,2499
North Perth,2499
Perth City,2499
Subiaco - Shenton Park,2499
Wembley - West Leederville - Glendalough,2499
Bassendean - Eden Hill - Ashfield,2499
Bayswater - Embleton - Bedford,2499
Maylands,2499
Morley,2499
Noranda,2499
Chidlow,2499
Glen Forrest - Darlington,2499
Helena Valley - Koongamia,2499
Malmalling - Reservoir,999
Mundaring,2499
Swan View - Greenmount - Midvale,2499
Avon Valley National Park,149
Ballajura,2499
Beechboro,2499
Bullsbrook,2499
Ellenbrook,2499
Gidgegannup,2499
Hazelmere - Guildford,2499
Lockridge - Kiara,2499
Malaga,149
Melaleuca - Lexia,149
Middle Swan - Herne Hill,2499
Midland - Guildford,1249
Stratton - Jane Brook,2499
The Vines,2499
Walyunga National Park,149
Craigie - Beldon,2499
Currambine - Kinross,2499
Duncraig,2499
Greenwood - Warwick,2499
Heathridge - Connolly,2499
Hillarys,2499
Iluka - Burns Beach,2499
Joondalup - Edgewater,2499
Kingsley,2499
Mullaloo - Kallaroo,2499
Ocean Reef,2499
Padbury,2499
Sorrento - Marmion,2499
Woodvale,2499
Balcatta - Hamersley,2499
Balga - Mirrabooka,1249
Dianella,2499
Herdsman,149
Innaloo - Doubleview,2499
Karrinyup - Gwelup - Carine,2499
Nollamara - Westminster,2499
Osborne Park Industrial,149
Scarborough,2499
Stirling - Osborne Park,2499
Trigg - North Beach - Watermans Bay,2499
Tuart Hill - Joondanna,2499
Wembley Downs - Churchlands - Woodlands,2499
Yokine - Coolbinia - Menora,2499
Alexander Heights - Koondoola,2499
Butler - Merriwa - Ridgewood,2499
Carramar,2499
Clarkson,2499
Girrawheen,1249
Madeley - Darch - Landsdale,2499
Marangaroo,2499
Mindarie - Quinns Rocks - Jindalee,2499
Neerabup National Park,149
Tapping - Ashby - Sinagra,2499
Wanneroo,2499
Alkimos - Eglinton,2499
Carabooda - Pinjar,2499
Two Rocks,799
Yanchep,2499
Armadale - Wungong - Brookdale,1249
Ashendon - Lesley,149
Camillo - Champion Lakes,2499
Forrestdale - Harrisdale - Piara Waters,2499
Kelmscott,2499
Mount Nasura - Mount Richon - Bedfordale,2499
Roleystone,2499
Seville Grove,2499
Belmont - Ascot - Redcliffe,2499
East Victoria Park - Carlisle,2499
Kewdale Commercial,149
Perth Airport,149
Rivervale - Kewdale - Cloverdale,2499
Victoria Park - Lathlain - Burswood,2499
Bentley - Wilson - St James,2499
Canning Vale - West,2499
Canning Vale Commercial,149
Cannington - Queens Park,2499
Parkwood - Ferndale - Lynwood,2499
Riverton - Shelley - Rossmoyne,2499
Welshpool,149
Willetton,2499
Beckenham - Kenwick - Langford,2499
Canning Vale - East,2499
Gosnells,2499
Huntingdale - Southern River,2499
Maddington - Orange Grove - Martin,2499
Thornlie,2499
Forrestfield - Wattle Grove,2499
High Wycombe,2499
Kalamunda - Maida Vale - Gooseberry Hill,2499
Lesmurdie - Bickley - Carmel,2499
Byford,2499
Mundijong,2499
Serpentine - Jarrahdale,2499
Como,2499
Manning - Waterford,2499
South Perth - Kensington,2499
Banjup,2499
Bibra Industrial,149
Bibra Lake,149
Coogee,2499
Coolbellup,2499
Hamilton Hill,2499
Henderson,149
North Coogee,2499
South Lake - Cockburn Central,2499
Spearwood,2499
Success - Hammond Park,2499
Yangebup,2499
Beeliar - Wattleup,2499
Jandakot,2499
East Fremantle,2499
Fremantle,2499
Fremantle - South,2499
O'Connor (WA),149
Bertram - Wellard (West),2499
Calista,499
Hope Valley - Postans,499
Kwinana Industrial,299
Parmelia - Orelia,2499
Casuarina - Wandi,2499
Applecross - Ardross,2499
Bateman,2499
Bicton - Palmyra,2499
Booragoon,2499
Bull Creek,2499
Leeming,2499
Melville,2499
Murdoch - Kardinya,2499
Willagee,499
Winthrop,2499
Baldivis,2499
Cooloongup,1249
Port Kennedy,2499
Rockingham,499
Rockingham Lakes,149
Safety Bay - Shoalwater,2499
Singleton - Golden Bay - Secret Harbour,2499
Waikiki,2499
Warnbro,2499
